# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
104,0.1.4033,2,Unknown,ms2,1295.79,99,1328,138.0553,6059.43,30418.26,2,635.7775,635.7796,635.78,120,1269.54
105,0.1.4039,2,Unknown,ms2,1297.5,99,1005,110.072,318733.59,1510590,3,317.4997,317.4996,317.5,120,949.4773
106,0.1.4041,2,Unknown,ms2,1297.9,99,727,101.0718,123123.98,1083745.9,2,343.7149,343.715,343.72,120,685.4152
107,0.1.4063,2,Unknown,ms2,1304.96,99,2041,204.0875,36915.09,193763.39,2,980.4217,980.4203,980.42,120,1958.829
108,0.1.4084,2,Unknown,ms2,1311.58,99,2369,204.0874,209244.56,1565967.5,3,759.6518,759.6525,759.99,120,2275.934
109,0.1.4086,2,Unknown,ms2,1312,99,672,242.0938,530604.12,5305563.5,2,315.204,315.2041,315.2,98.5434,628.3934
110,0.1.4090,2,Unknown,ms2,1313.1,99,2394,204.0875,10303.26,58318.27,3,766.9785,766.9804,767.31,120,2297.914
111,0.1.4106,2,Unknown,ms2,1318.19,99,727,101.0718,78613.06,695202.81,2,343.715,343.7151,343.72,120,685.4154
112,0.1.4107,2,Unknown,ms2,1318.34,99,1005,110.072,138039.2,677555.94,3,317.4998,317.4998,317.5,120,949.4776
113,0.1.4129,2,Unknown,ms2,1325.3,99,2041,204.087,21942.42,96527.09,2,980.4218,980.4227,980.92,120,1958.829
114,0.1.4151,2,Unknown,ms2,1332.13,99,2369,204.0873,111579.09,735616.94,3,759.6517,759.6523,759.99,120,2275.933
115,0.1.4157,2,Unknown,ms2,1333.86,99,672,242.0938,589855.38,5539263.5,2,315.204,315.204,315.2,103.8586,628.3934
116,0.1.4173,2,Unknown,ms2,1338.75,99,1005,110.072,57143.33,354511.69,3,317.4996,317.4995,317.5,120,949.477
117,0.1.4174,2,Unknown,ms2,1338.91,99,727,101.0717,33218.01,289297.31,2,343.715,343.7148,343.71,120,685.4154
118,0.1.4175,2,Unknown,ms2,1339.06,99,2430,204.0871,15134.75,76220.43,3,778.6593,778.6606,778.99,120,2332.956
119,0.1.4216,2,Unknown,ms2,1352.27,99,2369,204.0875,57033.54,348595.25,3,759.6521,759.6517,759.65,120,2275.934
120,0.1.4228,2,Unknown,ms2,1355.9,99,1354,733.3689,4977.74,25365.04,2,646.2809,646.2807,646.28,120,1290.547
121,0.1.4239,2,Unknown,ms2,1359.19,99,1005,110.072,39114.47,283528.72,3,317.4998,317.4997,317.5,120,949.4776
122,0.1.4242,2,Unknown,ms2,1359.97,99,727,101.0718,15755.45,174762.97,2,343.7152,343.7151,343.72,120,685.4158
